GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,,0.4880565065,-1.0773203291,4.2411201255,4.8989677465,3.9419792239,0.0599733921,4.9382221645,3.3042042661,4.8298184386,5.0679197148,0.5618392137,2.0382531178,1.0669366104,1.4646968524,0.0060171165,1.609409074,2.3242775505,-0.2582701594,2.9944806849,1.7955178566,1.7798583771,1.5207721967,-3.5339637644,3.4208806332,3.7028699631,2.8519194058,1.0054362111,4.1540263706,2.1953717722,2.0531628925,-1.5027260749,-0.7574715441,3.0726355027,2.8714504479,2.6919213183,2.8216205292,2.8157636612,3.5011631773,3.965234878,2.7193280893,0.7045623437,2.6432874484,2.0057183803,2.9552350943,1.609224578,1.5718704007,1.7231462463,1.7745982283,-0.6460624168,0.6643170746,
Austria,,4.9607171835,2.0214696668,3.4714661593,5.4193360142,2.8100127856,4.9044790038,2.2410097585,3.9312418289,5.9094959264,6.4481185099,4.6469428227,5.592381405,4.3109059002,3.7653730999,-0.0990303436,4.7633698134,4.9683250107,-0.0652465658,5.6360334681,1.7835619877,-0.3985039124,1.8739121316,3.1193221604,0.066977009,2.4081818854,2.2516196874,1.2822693539,2.723435156,3.2752564345,3.3800788884,2.311641183,0.7726132691,-0.4499830323,1.8202988812,2.6390972898,2.3283869999,2.1930435482,3.6717230237,3.3378746576,3.4186023398,0.4720590913,1.1946452848,0.3757626448,1.9550709565,1.705420642,3.1581014332,3.3043200113,0.9566325791,-4.1359381102,2.0131548806,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.229583276,-23.7638309401,-24.2593995997,-20.7781361064,-12.8099674691,0.2821718408,4.7842822058,8.9608871477,6.4615827879,10.191030117,9.0518221718,9.7778033395,10.3606757266,9.2394895564,25.1144384135,33.0304877689,23.6391331092,8.4976196453,7.0541640593,3.7619300861,
Bahamas,,5.297756348,4.99915162,5.0994048503,5.2380126286,5.4161060654,4.3656635229,5.1143185844,4.3068437642,5.2536885099,-8.4929675483,-1.0083272537,-5.6536687441,5.4095780722,-18.3738003513,-16.5077835154,2.9957017183,6.8260621622,11.695014401,23.3738944275,4.1641158718,-11.2203638566,4.3448045475,1.3440710527,11.779455809,2.7491597653,-0.0925074652,1.1863670817,0.5840701441,4.919921598,-3.3086177455,-5.9145156511,-5.6046001108,-1.5227023516,1.3793715808,2.7565887703,2.7895597519,0.8043051526,3.5077535698,5.8988019189,2.8675484059,1.2798834844,1.2957200557,-2.6652401902,-0.5716750329,1.899846002,1.0275086018,-0.0326318164,-2.7541875463,-6.6786036778,-0.4163727332,
Bahrain,,,,,,,,,,,,,,,,,,,,,,-8.9091112298,-10.3770915299,3.5753086697,2.2373802818,-7.5223468088,-2.0851462979,6.6137241818,3.28611818,-2.9558103264,1.28170434,8.2018725511,4.0189281159,10.184595027,-2.6218870302,1.3757492169,1.2406666032,-0.0488905797,1.6610649268,1.7159854,3.4144066051,3.8971966195,5.332132945,6.3562002831,1.7335334048,-0.0896404146,-4.6882502064,-5.0394018578,-6.4906387459,,,
Bangladesh,,3.1160808668,2.5750849235,-3.191522431,7.7930853587,-1.4189763523,-0.6802842476,-5.0907537471,6.0510425344,-1.517262888,3.3983932134,-6.8282132421,-14.7434168443,2.618926784,8.5929701115,-5.4670130544,3.5031492648,0.0869121498,4.046545723,1.7564280569,-2.0340596433,0.9726240559,-0.3559079325,1.2766434537,2.407226352,0.4770712427,1.4540737341,0.9600261951,-0.5290068336,-0.0051860479,3.3501472309,0.9299077342,2.697926742,2.3278575432,1.9013530428,2.756714232,2.4918803762,3.284698491,3.176199353,2.8813245669,4.0009027047,3.3971882275,2.6097749272,3.5224729417,4.646448432,4.4824343826,5.3068370806,5.2425134519,5.0798314798,4.6251025386,4.8838566993,
Barbados,,7.350987891,8.6310641823,-5.4873835767,4.5753704016,11.0483494873,3.7207821548,10.3876712344,6.6822360165,7.2094087602,9.0797977622,3.3720180627,0.6426883795,0.6716279711,-5.2297244208,3.4915718453,-0.4379825435,4.1216314899,5.93451976,7.4443082864,4.439123657,-3.5632197432,-5.4230680738,-0.3004207282,2.8608416212,0.0450707371,8.9545010655,0.5994824073,5.8297363181,4.6464174065,-5.1417092565,-3.2290282338,-5.2644382998,0.6995884719,3.6771085316,1.1899963139,1.517611205,6.0531729417,3.778425378,2.2784456794,2.0237833283,-5.29513583,-3.768289663,1.7898803381,3.4715229874,2.9703532489,3.2059444689,0.2720050658,-0.026852661,-5.4979065309,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2484598784,-9.7946750196,-7.807559332,-11.5963919038,-10.1099470277,3.144015748,11.8734802807,8.9167543947,3.7503338316,6.1172413793,5.0902063518,5.5242954897,7.5964242051,12.0112632911,9.9881081487,10.4850123878,8.9888682386,11.396425945,1.1644330068,7.8031378801,
Belgium,,4.6302571341,4.7940345177,3.5743535408,5.9491393563,2.6244446611,2.4614624534,3.2915757418,3.7850443643,6.3282836466,5.6683615995,3.7964888036,4.8840879025,6.0474888356,4.2367776025,-2.248829662,5.4641399647,0.5019786642,2.7459898774,2.249127595,4.3290084414,-0.2766537953,0.6223292421,0.3198122907,2.4679214162,1.6215189192,1.7864699522,2.2194779791,4.3907950296,3.0939989562,2.8302681146,1.455371746,1.1195657269,-1.3479994916,2.9093187131,2.1705502162,1.2265011779,3.4843354307,1.7114870287,3.3027247066,3.4185508891,0.4616136716,0.9063484608,0.3856228006,2.8233297926,1.173570047,2.026833432,2.1469822524,0.1624168006,-3.6194089267,1.3316163548,
Belize,,1.3351679578,1.2103410985,1.3028802134,1.5848818252,1.8714119425,2.0176792458,2.4232739128,5.0915918393,3.1395269941,3.0808738732,2.4655865586,8.8827051665,4.1212270568,11.9879404089,1.7794127473,-2.1174961337,3.9148986288,5.064646924,4.6247231838,12.139185821,-1.3399652846,-2.8469677598,-4.0625579623,-1.1869856183,-1.4978800612,1.9967132264,8.1687805402,6.4428598492,10.9919928212,7.2336245539,7.6491831525,9.2207885785,3.1660320057,-2.6901551955,-1.9128075743,-1.0841511073,-0.0563878219,0.0436883814,6.7219983045,10.0069029328,1.8977923971,1.9679778946,5.9262837664,1.3256970089,-0.2203228642,1.324412383,-1.9500276239,0.1785000874,-3.2825181916,-0.6215255427,
Benin,,1.8166694919,-4.7524640919,3.2070351398,5.0224854601,3.6161134762,1.8607597222,-0.6596658237,1.9840853653,0.9553607579,0.1043219284,-3.5018108737,4.1770809936,1.4369454159,1.0057004425,-7.10552676,-1.5229411431,2.4168935863,-1.2755352239,3.820248582,4.0117678281,7.0458662733,-0.5184456541,-6.9507095125,4.989108766,4.6085851911,-0.5748452355,-4.1351297136,0.5804599697,-5.6454274276,0.0573512832,1.3066646827,0.4619412135,-0.0462553286,0.8892845264,1.3108366819,2.450153761,3.2035531773,1.7107105274,1.8063517762,2.7428784822,1.8205232084,1.2368456403,0.6083818704,-0.1472663705,-0.2781125336,0.9532091587,1.4943781954,2.0384709274,0.8339705858,0.1110071186,
Bermuda,,2.1492747253,2.0039699571,-1.260754717,8.3833742331,2.2507784431,12.3454545455,11.0966735967,0.1787487587,1.5209367443,4.3793415886,4.1952838828,2.5640739791,2.2382050236,1.6328273868,4.551271534,8.5290040744,5.5008162873,1.0742293376,1.7682391248,7.544132918,1.6281512605,-5.9767596179,1.2697334369,-0.2414873353,-2.7034594326,4.9794961922,2.1345155709,2.4608142964,-1.0729253819,-1.4686768127,-4.3250851791,-0.0597371565,3.0085674437,0.1072822565,3.7223300419,2.4577324184,4.4544745212,3.7554484011,3.2388168837,9.1650673222,5.9592042364,-1.9739024202,2.998795665,2.1414145764,1.5749982182,5.2401458877,2.6102777225,0.6191842587,-5.121623333,-2.2033335293,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,5.5378900213,4.7878013097,4.9045488947,1.4570927441,4.546499637,16.1663710362,11.5081492269,3.8441931506,8.0540140364,5.4156624342,3.8376058327,5.6008625765,5.5826327258,7.025265234,5.7971933356,3.8616789255,3.1701949056,4.0049200102,4.5274339775,3.9327252619,5.6858844708,5.3779448287,4.9463307507,5.9863549604,4.4123572845,15.5451840449,2.7617468096,4.8886231988,5.6179330926,
Bolivia,,-0.159868107,3.2451205854,4.0650168864,2.4589283939,3.251722438,4.0882206658,4.4752794004,-14.1861552879,0.6994883621,-2.8384684487,2.5582958457,5.3708083701,3.1865941508,0.460083166,4.7438981193,2.1279183991,2.4936650493,-0.3239242856,-2.1501433852,-3.5649345982,-1.8940367281,-5.9705619757,-6.0481549847,-2.2927583923,-3.763826067,-4.6695721327,0.2364073876,0.6462942381,1.4786496259,2.2778744991,2.8661891519,-0.6903220626,1.8731858736,2.288167095,2.3426430483,2.0835734424,2.7122463818,2.8302204985,-1.64074462,0.4292609401,-0.3489991035,0.4712129987,0.739439289,2.2365565932,2.5521424562,2.9952833738,2.8314559079,4.4382743133,1.7180934411,2.4953557497,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5105551077,90.4682177947,31.9960018138,11.791188547,5.9130369591,2.8648549502,2.8772696399,4.5327307546,3.8121096556,6.138131777,5.0099140413,6.1835150207,6.9102047624,5.556028906,-2.7429901189,1.0059697872,
Botswana,,3.8572324535,4.0651372991,3.2322746022,4.0226673499,2.9400725967,3.3586246208,2.8498231657,7.2619876903,11.5953363011,13.4506206859,21.8155493712,22.272550054,17.2732776237,5.0453578412,4.5527278797,6.5220146066,7.7292373469,9.9342714814,7.9002883283,7.8695564954,5.1919527157,8.3049319438,9.3545625344,4.9753919666,3.6509542941,4.7211542937,8.382831869,15.7859935856,9.6551679144,3.619080289,4.3487869914,0.0117779606,-0.8660798871,0.9221823182,1.821270612,3.0775396938,7.7258752977,8.2876751203,3.0841356886,4.093880431,1.9575824092,7.5427455993,4.9962670912,4.8005683029,0.3726273197,3.7403738191,3.3493535042,1.4319109693,-6.2168036298,5.8655135969,
Brazil,,7.0153104816,2.0789062577,-2.117486684,0.4832296406,0.1628167762,1.3331003712,2.1670932477,8.5906285349,7.0042863207,6.1091643422,8.6193200108,9.4039336918,11.313957256,6.5033735716,2.7586280297,7.2333005152,2.17444152,0.834967165,4.2902197683,6.586512218,-6.6007772957,-1.727896963,-5.5897528882,2.9636894864,5.6746736162,5.8116865374,1.5962750908,-1.9551641346,1.4409991377,-5.9380754284,-0.1537125955,-2.0349137843,3.062548784,3.7399678407,2.8364625522,0.5995852193,1.8096905911,-1.4623337951,-1.222301939,2.8196905873,-0.0939241833,1.2771990558,-0.1561233293,4.4242996845,1.9873498092,2.8651090253,5.0631168331,4.2059551461,-1.5204028227,6.5526304687,
Brunei,,,,,,,,,,,,,,,,-3.8460140073,15.2868350518,6.5698790608,2.7688971678,18.2101243009,-10.0987776721,-22.3271815126,0.9061392296,-2.3230492335,-2.1772206188,-4.2106026836,-5.4091812964,-0.813841923,-1.7047070916,-3.8214443087,-1.7224391985,0.2697842668,1.8383886205,-2.4654263465,0.3549845341,1.731944592,0.2564076436,-3.9084770724,-2.94409008,0.6542447732,0.5278596192,0.4970878385,1.6714081925,0.7837448657,-1.5207730635,-1.5974466722,2.3696277422,-1.75534428,-3.768813318,-3.5558908086,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,4.551143989,2.03229416,3.1725211742,3.1548072948,2.6849533137,4.2352413765,5.8986125081,10.8200906466,-2.1516906279,-7.4632077524,-7.5340688692,-6.271263755,-0.691213487,2.1643584925,3.3193489879,-8.5596835935,-1.0449245964,5.5634445687,2.5374071225,6.2494384423,6.0979026389,6.6693179453,6.1110211427,7.3299170197,6.9252973622,7.1281252382,6.9452959647,6.7066493078,-5.0232847,0.8800273693,
Burkina Faso,,2.4702516029,4.5184053145,-2.7928790879,0.6446290808,2.0229463287,-1.2325787322,6.8288079331,1.1233056966,0.0620205539,-1.8321230927,-0.580312218,0.2742749012,-1.5832255524,6.0498693804,0.8210881852,6.1880008026,-1.8458770699,2.25011862,1.2810288678,-1.5656274713,1.7664167677,6.9012804034,-2.1291743778,-4.2347938842,5.7707165782,5.1923389867,-2.8162707534,3.0338501399,-0.5390938607,-3.2399262433,6.1549460763,-2.4642349201,0.6628163277,-1.4357260632,2.838052364,7.9845891667,3.4058800508,4.3570424161,4.4337572547,-0.9887783797,3.6598188085,1.7475936794,4.9781376397,1.6440539073,3.2913400519,2.4473959881,0.578084373,1.926652322,0.4617527325,6.0346972092,
Burundi,,-15.2561360055,7.1830365143,2.3389102349,4.399153744,2.0777443546,2.6136193682,11.5729696746,-2.2053252101,-3.1242574954,19.6574983902,1.6942846077,-7.1188630999,6.1467153695,-1.6031285343,-0.5638678129,6.1529386095,9.2318711291,-3.2462059736,-0.9706615015,-1.840779544,8.8092606008,-4.1658386333,0.3610907247,-3.0996900928,8.1989076495,0.0009815093,2.2724536723,1.9773700072,-1.3625553572,1.0183074234,2.7532837381,-0.9122149602,-7.7921388747,-5.1698945676,-8.9732676497,-8.8016998634,-2.2464654122,4.0427140852,-1.9575289298,-2.2673293618,0.0882859226,1.9920210128,-3.8624699104,1.843764756,-2.0483451802,1.9894201018,0.4629268278,1.4004078349,0.6186682712,1.2827042114,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8569349185,3.5156267877,2.7480207533,3.1679240226,2.7755251642,9.7283422298,6.822179046,6.2735040575,5.0970338139,7.0150536455,8.9205822549,11.8629185274,9.4736381161,8.9711718197,5.5122744377,-1.0250120347,4.7557559874,
Cameroon,,-0.947821962,0.8113142934,1.4425045075,1.2048486293,-0.3228354733,2.1637179383,-13.0387697182,3.7595580608,2.3007578387,0.486364371,0.8218647534,-0.0053730093,2.5469946838,7.6985687874,8.1031439146,-8.2456070643,10.353142551,18.3366961723,2.8701419201,-4.8426266353,13.7198929786,4.4812464889,3.8719362173,4.4434009641,4.9725578473,3.6761783274,-5.0026515751,-10.5115884301,-4.652670238,-8.7687479801,-6.4885061834,-5.7522148748,-5.7893145846,-5.0335216981,0.7017157708,2.4488544459,2.6259593013,2.6244765337,2.0241050336,1.8458133349,2.1589603642,1.6741271479,1.7048297079,1.3946460298,0.0336390855,0.9515968893,1.2346951137,0.6577967819,-0.2142079793,0.9675437318,
Canada,,1.1193869648,5.1429393996,3.2405389156,4.7062611393,4.7236118919,4.6178645894,1.0800579122,3.6101291033,3.8383801186,1.1594539602,2.5710343495,3.776952363,5.1673445628,1.8484705677,-0.0850843703,3.8171022303,2.2495657777,2.9156123212,2.7744419146,0.849910562,2.2269967346,-4.0230631016,1.6928877637,4.8016927302,3.8107124336,1.3967312769,2.8945894343,3.6278952778,0.805319507,-1.2923310336,-3.4151849983,-0.3554012555,1.2247249811,3.801611454,1.9605288684,0.5300722849,3.1300345433,3.2002395763,4.6622275499,4.3081706053,0.7614408517,2.0052908894,0.8711407099,2.0918390622,2.0083789232,1.9895102623,1.1024127795,-0.4879156077,-3.953353186,2.0162988092,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,3.5216552574,8.2777464253,7.9430490451,5.9550598056,1.1773796108,1.644147045,5.0925483572,4.530106816,-0.8923767995,-0.7229731215,0.6927389376,4.1752758265,4.0751097476,4.81585893,1.6302900089,3.1724160794,5.2810834681,6.5571637728,14.7192944703,4.2637958656,3.5049182047,3.0241099661,2.7713732262,5.147040979,8.9018637573,7.5793665343,5.250202106,2.6709921321,4.4792961373,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7395320348,,,,,,,,,,,,,,,,,
Central African Rep.,,3.1877078431,-5.410178741,-2.5298950448,0.1385581653,-1.0308059467,-1.3908898307,2.503266063,-0.7159082246,4.8870700911,0.2869883057,-0.8252124891,-1.8926271124,-0.0406075612,4.2631975025,-1.6543478227,3.176769999,1.5035911627,-1.1499292724,-4.8861582501,-7.0051613037,-4.327171514,4.5252756801,-10.8601177371,6.3702991438,1.20390597,1.1288258073,-6.9943702968,-0.3931446721,-0.1822752784,-4.3569731342,-2.9521867033,-8.778265696,-2.2291475992,2.2645588468,4.6146721694,-6.2190662644,2.9553729888,2.4770186547,1.5269401482,0.3842274399,-1.4812703343,-2.1966909352,-9.0450463809,-0.5896658158,0.7281388195,2.0311865296,1.8705570857,0.1462448569,-0.1880829609,1.3548335378,
Chad,,-0.7286958935,3.1152980568,-3.7092556559,-4.5899635193,-1.5134938807,-3.8371994308,-1.288069864,-2.4992549493,4.6215185923,-0.3868865389,-4.511488992,-1.2770309828,-10.5905331445,2.5106034353,6.6045181442,0.8486518764,0.2149739751,-2.4012778839,-23.0004718991,-8.0079021871,-1.1711817707,2.9358996776,12.8890887155,-0.5643920008,18.480469262,-6.8510173593,-5.3459566371,11.8925865265,1.6219718969,-7.1154975924,5.2684179113,4.7875333283,-18.2094847726,6.8459643042,-1.8341488499,-0.9142685228,2.3980255458,3.5962189451,-3.8965240158,-4.198970588,7.7830161003,4.6428746277,10.6774867239,29.1035171618,13.602338546,-2.7628995664,-2.5799072469,-3.0356446483,-4.1490673798,1.6066965975,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2248862006,5.3001661245,-1.9615648478,-2.0555290482,-3.6202106707,-0.2506318676,0.832557014,4.2383553153,5.1906494859,,,,
Chile,,1.44094426,2.5553319411,3.4927464365,0.2066662911,-1.8876639608,7.5989784262,1.4845979027,1.6889091169,1.4912978875,0.2315265117,7.0576097008,-2.5478339177,-6.5374391106,0.8501312808,-12.7142006592,1.9125777952,7.1952002741,6.0052803862,7.1854920533,6.6015985384,3.1718039805,-11.7144612561,-5.3238264993,6.2166083699,5.3582482909,3.8513114225,4.8209213633,5.5036729894,8.6601017431,1.8754326874,6.0284072585,10.2335561397,5.0583216582,3.877322299,8.827015479,5.7884027399,5.1022652178,1.8640641554,-2.0143783575,3.2133521772,2.1555309621,1.0201600256,2.7722363371,4.9077526378,4.4617698858,3.5296700616,3.5653219556,2.6603706569,-2.6104858474,4.2272087286,
China,,-26.3578093761,-6.8725510061,7.6632470643,13.1797017002,13.6247198379,7.6570295078,-8.0932741369,-6.5714516275,13.7404214692,16.1476754062,4.1008019213,1.2803487118,5.4641324807,0.2082101405,6.7967906852,-3.1108613548,6.143595614,10.2152071034,6.1742240752,6.4563932187,3.861032212,7.5050846197,9.3090725196,13.6983695416,11.9649466243,7.1936857301,9.8246495731,9.5223400779,2.516142672,2.2880587746,7.7201567632,12.808978772,12.6969383252,11.8288722852,9.701583593,8.8530655825,8.1870739589,6.7705515989,6.6723656639,7.5492113777,7.5161799741,8.3714737582,9.3169823036,9.4480180545,10.647338002,12.0724657137,13.6051203254,9.03986019,8.6484144271,9.8291504147,
Colombia,,2.1836735157,2.3787492118,-0.1022373109,3.5016680068,0.0379612845,2.2995961737,1.2285535147,3.4660097698,3.6630929107,4.2167192072,3.3735117135,5.1708779223,4.3212616327,3.3790220799,-0.05188275,2.4371567953,1.7727614908,5.9885624936,2.9919614759,1.7605618247,-0.0092216002,-1.2734006516,-0.6259652681,1.1367049382,0.9091829455,3.6365265799,3.2146434307,1.9651122042,1.3709302749,3.9795354994,0.3233872305,3.061721617,0.4756842273,3.9089432783,3.3110680334,0.2428921591,1.6165136177,-1.167583955,-5.8296289551,2.6832322149,0.0220385775,0.8678298638,2.29059239,3.7075916839,3.113484828,5.0957488603,5.3200106585,2.0433718961,0.2081538559,2.5612848897,
Comoros,,,,,,,,,,,,,,,,,,,,,,0.2327669231,2.8704667226,1.5524217525,1.0293279261,-0.6066211748,-0.8699534285,-0.9621853263,0.156750984,-5.5173857393,2.5752051052,-7.6522222924,5.9472868346,0.5443764087,-7.5615042663,1.0779477482,-3.7398029206,1.4125371416,-1.2985792102,-0.7008879878,-1.2155506701,0.6277632916,1.4101745531,-0.2334445541,-2.8866499014,1.4581987523,-1.4530565037,-2.1809123989,-1.6952005775,-0.8552030842,-0.5707137415,
"Congo, Dem. Rep.",,-13.1120514388,18.101051403,2.4832117609,-5.0301693251,-1.7539974017,3.7877331802,-3.8138759756,1.3267710347,6.1962913455,-3.063128784,3.0652863838,-2.5884929522,5.1859177809,0.2803119775,-7.6625260583,-8.0485598156,-2.2079131837,-8.1410889975,-2.4863460137,-0.6904858839,-0.4581224376,-3.1429948804,-1.3188509311,2.6502900663,-2.3689926089,1.7044449083,-0.3289969185,-2.6004812057,-4.5057738563,-9.8749086382,-11.9287504002,-14.1023679831,-16.9190914581,-7.4340973277,-2.5383198397,-3.7058258494,-7.8037337548,-3.7095867768,-6.3580730259,-9.1444294794,-4.7172791509,0.5079016158,2.6490271868,3.4713066388,3.3751231814,2.1179964692,3.3126617833,3.3029844767,0.0309858168,4.3386854969,
"Congo, Rep.",,5.602265763,2.4790237052,-6.5573189102,1.0426570596,0.872048869,-1.4080347705,-0.6976242102,4.6241388577,4.4848818736,3.2640011703,4.5502502317,5.338031527,4.9466727318,4.6358152018,4.5360809294,-2.0213835299,-11.563379889,3.3354688253,6.6851991797,14.2605513286,14.215151441,20.0050442209,2.784016957,3.905717414,-3.9779472776,-9.4518159106,-2.5603614511,-0.9951353758,-0.1601730676,-1.700219058,-0.3138772047,-0.0974373422,-3.6037955855,-8.0119223843,1.1929537974,1.4267855656,-3.3756165766,0.8230880942,-5.2174060208,4.8433739304,1.2946810318,2.1958610767,-1.4839250665,1.0792083906,5.1329913559,3.3474151677,-4.2820084185,2.6605596742,4.6027806166,6.0198982647,
Costa Rica,,-4.355123371,4.4095964457,1.1992967438,0.6956679937,6.3527850019,4.6154610035,2.5984360835,5.3952000144,2.7998663636,4.8004658637,4.221600155,5.6917068074,5.2675782774,3.103741089,-0.3608711003,2.8592448428,6.0628097339,3.4218141367,2.0890911525,-1.9990475967,-4.9406131125,-9.8363908429,0.036350425,3.3022869178,-1.6882822053,2.9591159716,4.0535677816,1.1174088961,2.377897032,1.2955176315,0.0556954624,6.5323129926,4.8591335195,2.2204783436,1.3918525104,-1.6142895658,2.9398486934,5.7226588059,5.6539526239,-0.4765559813,-1.0387327186,0.879747904,4.429050335,2.4092162212,4.0728449781,6.9821169384,6.2193757971,1.1430708468,-2.7673231639,2.7014118062,
